si.no,libraryurl,docount,ow.rule.entitybanks,ow.rule.exactname,ow.rule.graphlinkmerger,ow.rule.reit_price,ow.rule.reit_sqfeet,ow.rule.last_updated,ow.rule.entitylist,ow.rule.entitymed,ow.rule.entityreits
0,http://dev.openwaternet.com/libraries/tampa_tribune_money,25,6937,72,6423,11476,47,84,0,0,0
1,http://dev.openwaternet.com/libraries/bristol_myers_squibb,124,0,241,0,0,0,108,820,0,0
2,http://dev.openwaternet.com/libraries/bio_century_business,193,0,205,53,0,0,33,775,0,0
3,http://dev.openwaternet.com/libraries/cephied,30,0,31,13,0,0,6,94,239,0
4,http://dev.openwaternet.com/libraries/alkermes_web_site,30,0,30,7,0,0,5,100,0,0
5,http://dev.openwaternet.com/libraries/office_reits_sector_news,22,0,30,462,172,14,18,0,0,377
6,http://dev.openwaternet.com/libraries/cms_data,0,0,0,0,0,0,0,0,0,0
7,http://dev.openwaternet.com/libraries/journal_of_oncology_current_and_early_release,40,0,40,4,0,0,5,109,147,0
8,http://dev.openwaternet.com/libraries/lumineex,20,0,25,0,0,0,5,59,2025,0
9,http://dev.openwaternet.com/libraries/medtronics_company_news,20,0,17,2,0,0,3,51,71,0
10,http://dev.openwaternet.com/libraries/mega_gadget,20,0,18,2,0,0,3,50,70,0
11,http://dev.openwaternet.com/libraries/minneapolis_star_tribune,20,0,17,1,0,0,3,47,70,0
12,http://dev.openwaternet.com/libraries/phys_org,60,0,78,11,0,0,31,255,340,0
13,http://dev.openwaternet.com/libraries/science_2_eu,40,0,42,3,0,0,8,114,150,0
14,http://dev.openwaternet.com/libraries/the_heart_org,200,0,2299,45,0,0,87,813,1057,0
15,http://dev.openwaternet.com/libraries/aaucm,20,0,17,5,0,0,2,46,66,0
16,http://dev.openwaternet.com/libraries/american_journal_of_oncology,20,0,24,29,0,0,5,68,86,0
17,http://dev.openwaternet.com/libraries/avma_journals,20,0,14,1,0,0,1,39,60,0
18,http://dev.openwaternet.com/libraries/clinical_microbiology_reviews,60,0,68,6,0,0,8,170,226,0
19,http://dev.openwaternet.com/libraries/college_of_american_pathologists,20,0,13,2,0,0,1,39,59,0
20,http://dev.openwaternet.com/libraries/alexza_pharmaceuticals,20,0,20,2,0,0,6,70,0,0
